Question,Option A,Option B,Option C,Option D,Answer
"You need to host an application on a Compute Engine instance in a project shared with other teams. You want to prevent the other teams from accidentally causing downtime on that application. Which feature should you use?","Use a Shielded VM.","Use a Preemptible VM.","Use a sole-tenant node.","Enable deletion protection on the instance.",D
"Your organization needs to grant users access to query datasets in BigQuery but prevent them from accidentally deleting the datasets. You want a solution that follows Google-recommended practices. What should you do?","Add users to roles/bigquery user role only, instead of roles/bigquery dataOwner.","Add users to roles/bigquery dataEditor role only, instead of roles/bigquery dataOwner.","Create a custom role by removing delete permissions, and add users to that role only.","Create a custom role by removing delete permissions. Add users to the group, and then add the group to the custom role.",D
"You have a developer laptop with the Cloud SDK installed on Ubuntu. The Cloud SDK was installed from the Google Cloud Ubuntu package repository. You want to test your application locally on your laptop with Cloud Datastore. What should you do?","Export Cloud Datastore data using gcloud datastore export.","Create a Cloud Datastore index using gcloud datastore indexes create.","Install the google-cloud-sdk-datastore-emulator component using the apt get install command.","Install the cloud-datastore-emulator component using the gcloud components install command.",C
"Your company set up a complex organizational structure on Google Cloud. The structure includes hundreds of folders and projects. Only a few team members should be able to view the hierarchical structure. You need to assign minimum permissions to these team members, and you want to follow Google-recommended practices. What should you do?","Add the users to roles/browser role.","Add the users to roles/iam.roleViewer role.","Add the users to a group, and add this group to roles/browser.","Add the users to a group, and add this group to roles/iam.roleViewer role.",C
"Your company has a single sign-on (SSO) identity provider that supports Security Assertion Markup Language (SAML) integration with service providers. Your company has users in Cloud Identity. You would like users to authenticate using your company's SSO provider. What should you do?","In Cloud Identity, set up SSO with Google as an identity provider to access custom SAML apps.","In Cloud Identity, set up SSO with a third-party identity provider with Google as a service provider.","Obtain OAuth 2.0 credentials, configure the user consent screen, and set up OAuth 2.0 for Mobile & Desktop Apps.","Obtain OAuth 2.0 credentials, configure the user consent screen, and set up OAuth 2.0 for Web Server Applications.",B
"Your organization has a dedicated person who creates and manages all service accounts for Google Cloud projects. You need to assign this person the minimum role for projects. What should you do?","Add the user to roles/iam.roleAdmin role.","Add the user to roles/iam.securityAdmin role.","Add the user to roles/iam.serviceAccountUser role.","Add the user to roles/iam.serviceAccountAdmin role.",D
"You are building an archival solution for your data warehouse and have selected Cloud Storage to archive your data. Your users need to be able to access this archived data once a quarter for some regulatory requirements. You want to select a cost-efficient option. Which storage option should you use?","Cold Storage","Nearline Storage","Regional Storage","Multi-Regional Storage",A
"A team of data scientists infrequently needs to use a Google Kubernetes Engine (GKE) cluster that you manage. They require GPUs for some long-running, non-restartable jobs. You want to minimize cost. What should you do?","Enable node auto-provisioning on the GKE cluster.","Create a VerticalPodAutoscaler for those workloads.","Create a node pool with preemptible VMs and GPUs attached to those VMs.","Create a node pool of instances with GPUs, and enable autoscaling on this node pool with a minimum size of 1.",A
"Your organization has user identities in Active Directory. Your organization wants to use Active Directory as their source of truth for identities. Your organization wants to have full control over the Google accounts used by employees for all Google services, including your Google Cloud Platform (GCP) organization. What should you do?","Use Google Cloud Directory Sync (GCDS) to synchronize users into Cloud Identity.","Use the cloud Identity APIs and write a script to synchronize users to Cloud Identity.","Export users from Active Directory as a CSV and import them to Cloud Identity via the Admin Console.","Ask each employee to create a Google account using self signup. Require that each employee use their company email address and password.",A
"You have successfully created a development environment in a project for an application. This application uses Compute Engine and Cloud SQL. Now you need to create a production environment for this application. The security team has forbidden the existence of network routes between these 2 environments and has asked you to follow Google-recommended practices. What should you do?","Create a new project, enable the Compute Engine and Cloud SQL APIs in that project, and replicate the setup you have created in the development environment.","Create a new production subnet in the existing VPC and a new production Cloud SQL instance in your existing project, and deploy your application using those resources.","Create a new project, modify your existing VPC to be a Shared VPC, share that VPC with your new project, and replicate the setup you have in the development environment in that new project in the Shared VPC.","Ask the security team to grant you the Project Editor role in an existing production project used by another division of your company. Once they grant you that role, replicate the setup you have in the development environment in that project.",A
